crime_id,district,address,date,heavy,place_detail,losses,whens,for_what,weapon,crime
1.16.01920024.426904.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Баргузино",6/6/2016,средней тяжести,вне населенного пункта,,,иное,,ст. 158 ч. 2 п. Б в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426905.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Старое Барышево",6/9/2016,средней тяжести,"склад, база",,,сельскохозяйственная продукция,,ст. 158 ч. 2 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426930.1,Камско-Устьинский район,,6/11/2016,средней тяжести,,причинен значительный ущерб,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426906.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Теньки",6/16/2016,тяжкое,"квартира, частный дом",,,иное; продукты питания,,ст. 158 ч. 3 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426910.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Варварино",6/17/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,,,ст. 264 зн. 1 введена 528-ФЗ от 31.12.2014 по наст. вр.
1.16.01920024.426916.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Камское Устье, ул. Коммунальная",6/18/2016,средней тяжести,,,,иное,,ст. 158 ч. 2 п. Б в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426912.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Лабышка",6/23/2016,небольшой тяжести,"квартира, частный дом",,,российские рубли,,ст. 158 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426933.1,Камско-Устьинский район,,6/25/2016,небольшой тяжести,,,,,,ст. 115 ч. 2 п. В введен 227-ФЗ от 21.07.2014 по наст. вр.
1.16.01920093.426950.1,Камско-Устьинский район,,6/25/2016,средней тяжести,"на улице, площади, в парке, сквере",,,,,ст. 213 ч. 1 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.08920031.535396.1,Камско-Устьинский район,,6/28/2016,небольшой тяжести,,,,,,ст. 157 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426913.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, с. Кирельское, ул. Нижняя",6/30/2016,тяжкое,"квартира, частный дом",,,строительные материалы,,ст. 158 ч. 3 п. А в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426914.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Малые Кляри",7/1/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 119 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426926.1,Камско-Устьинский район,,7/5/2016,средней тяжести,,,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426925.1,Камско-Устьинский район,,7/8/2016,средней тяжести,,,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920024.426928.1,Камско-Устьинский район,,7/12/2016,средней тяжести,,причинен значительный ущерб,,российские рубли,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426919.1,Камско-Устьинский район,,7/12/2016,небольшой тяжести,,,,,,ст. 264 зн. 1 введена 528-ФЗ от 31.12.2014 по наст. вр.
1.16.01920024.426921.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Данышево, ул. Вахитова",7/13/2016,средней тяжести,"дача, садовый домик",причинен значительный ущерб,,российские рубли,,ст. 158 ч. 2 п. В в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426918.1,Камско-Устьинский район,,7/15/2016,небольшой тяжести,,,,,,ст. 314 зн. 1 ч. 2 введена 514-ФЗ от 31.12.2014 по наст. вр.
1.16.01920093.426924.1,Камско-Устьинский район,,7/22/2016,небольшой тяжести,"лес, лесопосадка",,,"лес, лесоматериалы",,ст. 260 ч. 1 в ред. 277-ФЗ от 21.07.2014 по наст. вр.
1.16.01920024.426935.1,Камско-Устьинский район,,7/30/2016,средней тяжести,,причинен значительный ущерб,,,,ст. 159 ч. 2 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426929.1,Камско-Устьинский район,,8/6/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 116 ч. 1 в ред. 420-ФЗ от 07.12.2011 (утратила силу 323-ФЗ от 03.07.2016)
1.16.01920093.426931.1,Камско-Устьинский район,,8/8/2016,небольшой тяжести,"на улице, площади, в парке, сквере",,,,,ст. 264 зн. 1 введена 528-ФЗ от 31.12.2014 по наст. вр.
1.16.01920024.426932.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, поселок городского типа Камское Устье, ул. Карла Маркса",8/19/2016,средней тяжести,"ресторан, бар",,,российские рубли,,ст. 158 ч. 2 п. Б в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426937.1,Камско-Устьинский район,"Камско-устьинский муниципальный район, д. Ишимово",8/19/2016,небольшой тяжести,,,,сельскохозяйственная продукция,,ст. 158 ч. 1 в ред. 420-ФЗ от 07.12.2011 по наст. вр.
1.16.01920093.426948.1,Камско-Устьинский район,,8/23/2016,небольшой тяжести,"квартира, частный дом",,,,,ст. 115 ч. 2 п. В введен 227-ФЗ от 21.07.2014 по наст. вр.
